movieId,clean_title
1193,One Flew Over the Cuckoo's Nest
661,James and the Giant Peach
914,My Fair Lady
3408,Erin Brockovich
2355,"Bug's Life, A"
1197,"Princess Bride, The"
1287,Ben-Hur
2804,"Christmas Story, A"
594,Snow White and the Seven Dwarfs
919,"Wizard of Oz, The"
595,Beauty and the Beast
938,Gigi
2398,Miracle on 34th Street
2918,Ferris Bueller's Day Off
1035,"Sound of Music, The"
2791,Airplane!
2687,Tarzan
2018,Bambi
3105,Awakenings
2797,Big
2321,Pleasantville
720,Wallace & Gromit: The Best of Aardman Animation
1270,Back to the Future
527,Schindler's List
2340,Meet Joe Black
48,Pocahontas
1097,E.T. the Extra-Terrestrial
1721,Titanic
1545,Ponette
745,"Close Shave, A"
2294,Antz
3186,"Girl, Interrupted"
1566,Hercules
588,Aladdin
1907,Mulan
783,"Hunchback of Notre Dame, The"
1836,"Last Days of Disco, The"
1022,Cinderella
2762,"Sixth Sense, The"
150,Apollo 13
1,Toy Story
1961,Rain Man
1962,Driving Miss Daisy
2692,Run Lola Run (Lola rennt)
260,Star Wars: Episode IV - A New Hope
1028,Mary Poppins
1029,Dumbo
1207,To Kill a Mockingbird
2028,Saving Private Ryan
531,"Secret Garden, The"
3114,Toy Story 2
608,Fargo
1246,Dead Poets Society
1357,Shine
3068,"Verdict, The"
1537,Shall We Dance? (Shall We Dansu?)
647,Courage Under Fire
2194,"Untouchables, The"
648,Mission: Impossible
2268,"Few Good Men, A"
2628,Star Wars: Episode I - The Phantom Menace
1103,Rebel Without a Cause
2916,Total Recall
3468,"Hustler, The"
1210,Star Wars: Episode VI - Return of the Jedi
1792,U.S. Marshalls
1687,"Jackal, The"
1213,GoodFellas
3578,Gladiator
2881,Double Jeopardy
3030,Yojimbo
1217,Ran
434,Cliffhanger
2126,Snake Eyes
3107,Backdraft
3108,"Fisher King, The"
3035,Mister Roberts
1253,"Day the Earth Stood Still, The"
1610,"Hunt for Red October, The"
292,Outbreak
2236,Simon Birch
3071,Stand and Deliver
902,Breakfast at Tiffany's
368,Maverick
1259,Stand by Me
3147,"Green Mile, The"
1544,"Lost World: Jurassic Park, The"
1293,Gandhi
1188,Strictly Ballroom
3255,"League of Their Own, A"
3256,Patriot Games
3257,"Bodyguard, The"
110,Braveheart
2278,Ronin
2490,Payback
1834,"Spanish Prisoner, The"
3471,Close Encounters of the Third Kind
589,Terminator 2: Judgment Day
1690,Alien: Resurrection
3654,"Guns of Navarone, The"
2852,"Soldier's Story, A"
1945,On the Waterfront
982,Picnic
1873,"Misérables, Les"
2858,American Beauty
1225,Amadeus
515,"Remains of the Day, The"
442,Demolition Man
2312,Children of a Lesser God
265,Like Water for Chocolate (Como agua para chocolate)
1408,"Last of the Mohicans, The"
1084,Bonnie and Clyde
3699,Starman
480,Jurassic Park
1442,Prefontaine
2067,Doctor Zhivago
1265,Groundhog Day
1370,Die Hard 2
1801,"Man in the Iron Mask, The"
1372,Star Trek VI: The Undiscovered Country
2353,Enemy of the State
3334,Key Largo
2427,"Thin Red Line, The"
590,Dances with Wolves
1196,Star Wars: Episode V - The Empire Strikes Back
1552,Con Air
736,Twister
1198,Raiders of the Lost Ark
593,"Silence of the Lambs, The"
2359,Waking Ned Devine
95,Broken Arrow
2717,Ghostbusters II
2571,"Matrix, The"
1917,Armageddon
2396,Shakespeare in Love
